"","Counts","Word","cDis"
"480",10,"#annoyingthingspeoplesay",10
"481",10,"#anonym",10
"482",6,"#answer",6
"483",5,"#anthonyshadid",4.26751071846172
"484",7,"#antioxid",7
"485",9,"#antm",9
"486",6,"#anxieti",6
"487",5,"#anyon",4.26751071846172
"488",5,"#anyth",4.26751071846172
"489",9,"#aot",9
"490",13,"#apart",13
"491",12,"#api",12
"492",7,"#apocalyps",7
"493",56,"#app",56
"494",5,"#appdev",4.26751071846172
"495",6,"#appengin",6
"496",7,"#appet",7
"497",102,"#appl",102
"498",6,"#applebe",6
"499",20,"#appreci",20
"500",6,"#april",6
"501",24,"#aprilfool",24
"502",20,"#aquarian",20
"503",58,"#aquarius",58
"504",11,"#arabspr",11
"505",8,"#arathlet",8
"506",10,"#archaeolog",10
"507",10,"#archer",10
"508",5,"#architectur",4.26751071846172
"509",45,"#archiv",45
"510",16,"#archivist",16
"511",5,"#arduino",4.26751071846172
"512",7,"#arealboyfriend",7
"513",5,"#arena",4.26751071846172
"514",18,"#arentyoutiredof",18
"515",8,"#areyouseriousbro",8
"516",8,"#argentina",8
"517",87,"#ari",87
"518",7,"#arian",7
"519",10,"#ariana100quest",10
"520",8,"#arianadidamaz",8
"521",7,"#aristotl",7
"522",27,"#arizona",27
"523",17,"#arizonawildcat",17
"524",11,"#arkansa",11
"525",12,"#arlington",12
"526",5,"#arlis2012",4.26751071846172
"527",10,"#arma11",10
"528",6,"#armi",6
"529",5,"#armyw",4.26751071846172
"530",6,"#arod",6
"531",7,"#arresteddevelop",7
"532",28,"#arsen",28
"533",139,"#art",139
"534",7,"#artbasel",7
"535",18,"#artfact",18
"536",6,"#arthriti",6
"537",10,"#articul",10
"538",65,"#artist",65
"539",31,"#artpolit",31
"540",17,"#arts",17
"541",8,"#artsmgtchat",8
"542",6,"#artstech",6
"543",10,"#artsummit",10
"544",8,"#artwalk",8
"545",6,"#aruba",6
"546",5,"#asakid",4.26751071846172
"547",16,"#asap",16
"548",5,"#asc12",4.26751071846172
"549",7,"#ascd12",7
"550",30,"#asecs12",30
"551",7,"#ashevill",7
"552",6,"#ashwednesday",6
"553",7,"#asian",7
"554",5,"#asiatrin",4.26751071846172
"555",10,"#asja",10
"556",34,"#askalexconstancio",34
"557",5,"#askanyth",4.26751071846172
"558",5,"#askarchivist",4.26751071846172
"559",8,"#askaustin",8
"560",18,"#askbieb",18
"561",6,"#askbila",6
"562",5,"#askconstancio",4.26751071846172
"563",9,"#askderulo",9
"564",7,"#askharri",7
"565",5,"#askmikey",4.26751071846172
"566",6,"#asknathan",6
"567",12,"#asknial",12
"568",21,"#askobama",21
"569",7,"#askpsand",7
"570",6,"#askromney",6
"571",12,"#askryan",12
"572",10,"#asksarah",10
"573",15,"#askscand",15
"574",9,"#askselena",9
"575",11,"#asktheboyz",11
"576",5,"#asktvdr",4.26751071846172
"577",6,"#askvinni",6
"578",20,"#askzayn",20
"579",5,"#aslrra2012",4.26751071846172
"580",6,"#asot",6
"581",7,"#asp",7
"582",11,"#ass",11
"583",30,"#assad",30
"584",10,"#asshol",10
"585",5,"#associ",4.26751071846172
"586",10,"#astd",10
"587",9,"#astd10",9
"588",10,"#astd2011",10
"589",85,"#astd2012",85
"590",7,"#astdtk12",7
"591",30,"#astro",30
"592",13,"#astrolog",13
"593",8,"#astrologyfact",8
"594",5,"#asw12",4.26751071846172
"595",27,"#at",27
"596",7,"#atablackchurch",7
"597",5,"#atheism",4.26751071846172
"598",15,"#atheist",15
"599",5,"#athensga",4.26751071846172
"600",33,"#athlet",33
"601",50,"#atl",50
"602",91,"#atlanta",91
"603",6,"#atlanticwow",6
"604",5,"#atplc",4.26751071846172
"605",5,"#atsu",4.26751071846172
"606",13,"#att",13
"607",20,"#attent",20
"608",7,"#atthack",7
"609",8,"#attitud",8
"610",8,"#attorney",8
"611",41,"#atx",41
"612",17,"#atxcouncil",17
"613",6,"#atxunscript",6
"614",5,"#auburn",4.26751071846172
"615",7,"#auction",7
"616",7,"#audaciousfaith",7
"617",38,"#audit",38
"618",5,"#aupsteadyrain",4.26751071846172
"619",5,"#ausopen",4.26751071846172
"620",141,"#austin",141
"621",6,"#austinisourworld",6
"622",7,"#austinmahon",7
"623",14,"#austinto700k",14
"624",38,"#austintodc",38
"625",9,"#australia",9
"626",20,"#austream",20
"627",6,"#authent",6
"628",31,"#author",31
"629",119,"#autism",119
"630",6,"#autismawar",6
"631",9,"#autist",9
"632",10,"#auto",10
"633",5,"#autocorrect",4.26751071846172
"634",5,"#autorepair",4.26751071846172
"635",14,"#av",14
"636",5,"#avalanch",4.26751071846172
"637",8,"#avatar",8
"638",213,"#aveng",213
"639",7,"#avenu",7
"640",5,"#avi",4.26751071846172
"641",8,"#aw",8
"642",21,"#awak",21
"643",7,"#awar",7
"644",5,"#awarenessinc",4.26751071846172
"645",6,"#awcchat",6
"646",6,"#awd",6
"647",120,"#awesom",120
"648",48,"#awkward",48
"649",12,"#awkwardmo",12
"650",9,"#awp",9
"651",13,"#awp12",13
"652",5,"#axiom",4.26751071846172
"653",5,"#azec11",4.26751071846172
"654",84,"#aztec",84
"655",17,"#b",17
"656",27,"#b1g",27
"657",6,"#b1gtourney",6
"658",6,"#b2b",6
"659",5,"#b2bchat",4.26751071846172
"660",8,"#b2bexpo",8
"661",18,"#babi",18
"662",14,"#babybashbl",14
"663",5,"#bachata",4.26751071846172
"664",56,"#bachelor",56
"665",51,"#bachelorett",51
"666",7,"#bachmann",7
"667",6,"#back",6
"668",9,"#backchannel",9
"669",35,"#backinelementaryschool",35
"670",23,"#backinthedaywheniwasakid",23
"671",5,"#backstagerush",4.26751071846172
"672",15,"#backwheniwasakid",15
"673",5,"#backwheniwaslittl",4.26751071846172
"674",40,"#bacon",40
"675",15,"#bad",15
"676",14,"#badass",14
"677",287,"#badger",287
"678",7,"#badgirlsclub",7
"679",10,"#bahrain",10
"680",5,"#bailout",4.26751071846172
"681",8,"#bake",8
"682",5,"#balanc",4.26751071846172
"683",7,"#ball",7
"684",5,"#baller",4.26751071846172
"685",12,"#ballin",12
"686",8,"#ballsohard",8
"687",187,"#baltimor",187
"688",15,"#bam",15
"689",13,"#bama",13
"690",8,"#bamboozl",8
"691",8,"#bamsquad",8
"692",10,"#banana",10
"693",17,"#band",17
"694",43,"#bandsilov",43
"695",6,"#bandwagon",6
"696",7,"#bang",7
"697",9,"#bank",9
"698",7,"#bankofamerica",7
"699",5,"#bankruptci",4.26751071846172
"700",5,"#bannedbooksweek",4.26751071846172
"701",14,"#bar",14
"702",6,"#barackobama",6
"703",11,"#barber",11
"704",10,"#barca",10
"705",6,"#barcamp",6
"706",7,"#barcamptampa",7
"707",9,"#barcelona",9
"708",8,"#barnard2012",8
"709",7,"#barnesandnobl",7
"710",6,"#barr",6
"711",72,"#bartab",72
"712",7,"#bartrivia",7
"713",5,"#base",4.26751071846172
"714",38,"#basebal",38
"715",21,"#bashh",21
"716",5,"#basiceconom",4.26751071846172
"717",25,"#basketbal",25
"718",5,"#basketballproblem",4.26751071846172
"719",31,"#basketballw",31
"720",12,"#bass",12
"721",6,"#bath",6
"722",6,"#batman",6
"723",16,"#battleship",16
"724",9,"#bay",9
"725",19,"#bayarea",19
"726",6,"#bayern",6
"727",23,"#baylor",23
"728",18,"#bb13",18
"729",7,"#bbc",7
"730",6,"#bbcsum12",6
"731",160,"#bbn",160
"732",10,"#bbnfam",10
"733",29,"#bbq",29
"734",31,"#bbw",31
"735",15,"#bbworld11",15
"736",9,"#bc",9
"737",19,"#bceagl",19
"738",12,"#bchockey",12
"739",6,"#bcltorphanwork",6
"740",13,"#bcs",13
"741",5,"#bcschampionship",4.26751071846172
"742",9,"#bcsm",9
"743",7,"#bday",7
"744",15,"#be",15
"745",12,"#beach",12
"746",6,"#beachboy",6
"747",115,"#bear",115
"748",24,"#bearcat",24
"749",13,"#beardown",13
"750",22,"#beast",22
"751",34,"#beastieboy",34
"752",44,"#beastmod",44
"753",19,"#beat",19
"754",15,"#beatcanc",15
"755",10,"#beatl",10
"756",16,"#beatla",16
"757",10,"#beattheheat",10
"758",66,"#beauti",66
"759",5,"#beautyofislam",4.26751071846172
"760",6,"#becauseitsfriday",6
"761",14,"#becauseofobama",14
"762",5,"#bed",4.26751071846172
"763",12,"#bee",12
"764",7,"#beef",7
"765",124,"#beer",124
"766",5,"#beerdiplomaci",4.26751071846172
"767",7,"#beerpong",7
"768",10,"#beertown",10
"769",5,"#beforeyouexit",4.26751071846172
"770",12,"#begreat",12
"771",9,"#behindthemus",9
"772",132,"#belieb",132
"773",51,"#belieberboy",51
"774",8,"#belieberhelpbelieb",8
"775",7,"#beliebersand1daredumb",7
"776",7,"#beliebersarealiensbecaus",7
"777",290,"#believ",290
"778",6,"#believememphi",6
"779",20,"#believetour",20
"780",5,"#bella32",4.26751071846172
"781",8,"#bellafb",8
"782",8,"#bellevu",8
"783",24,"#belli",24
"784",8,"#belltown",8
"785",16,"#bemilwauke",16
"786",27,"#bengal",27
"787",5,"#berkeley",4.26751071846172
"788",8,"#berkle",8
"789",36,"#best",36
"790",6,"#best90squot",6
"791",7,"#bestbritishband",7
"792",15,"#bestbuy",15
"793",5,"#bestdayev",4.26751071846172
"794",10,"#bestdress",10
"795",6,"#bestfeelingev",6
"796",24,"#bestfriend",24
"797",23,"#besti",23
"798",5,"#bestmemoryof2011",4.26751071846172
"799",6,"#bestpickuplin",6
"800",6,"#bestprankev",6
"801",7,"#bestseminar",7
"802",7,"#bestwaystogetridofagirl",7
"803",8,"#bet",8
"804",6,"#beta",6
"805",5,"#betascap",4.26751071846172
"806",10,"#bether",10
"807",9,"#better",9
"808",5,"#betterwithchicago",4.26751071846172
"809",12,"#beyonc",12
"810",9,"#bf3",9
"811",8,"#bff",8
"812",7,"#bffs",7
"813",7,"#bfhistorylesson",7
"814",9,"#bfmusicfactoid",9
"815",12,"#bfrandomfactoid",12
"816",6,"#bfv",6
"817",15,"#bgc",15
"818",22,"#bgc8",22
"819",5,"#bgt",4.26751071846172
"820",7,"#bhlib",7
"821",5,"#bi",4.26751071846172
"822",6,"#bibl",6
"823",5,"#bicsi",4.26751071846172
"824",10,"#bieber",10
"825",14,"#bieberfact",14
"826",6,"#bieberfev",6
"827",11,"#bieberonthevoic",11
"828",19,"#big",19
"829",10,"#big10expo",10
"830",15,"#big12",15
"831",14,"#bigbangtheori",14
"832",21,"#bigdata",21
"833",8,"#bigdataweek",8
"834",11,"#bigeast",11
"835",8,"#bigfamili",8
"836",17,"#biggestlos",17
"837",5,"#bigmistak",4.26751071846172
"838",23,"#bigomaha",23
"839",11,"#bigten",11
"840",5,"#bigtimemovi",4.26751071846172
"841",10,"#bigtimerush",10
"842",31,"#bike",31
"843",6,"#biketoworkweek",6
"844",5,"#bikini",4.26751071846172
"845",5,"#bikram",4.26751071846172
"846",6,"#bikramyoga",6
"847",85,"#bill",85
"848",5,"#billboard",4.26751071846172
"849",12,"#billsmafia",12
"850",5,"#bing",4.26751071846172
"851",5,"#bingo",4.26751071846172
"852",10,"#binladen",10
"853",14,"#bird",14
"854",9,"#birthcontrol",9
"855",37,"#birthday",37
"856",5,"#bisnow",4.26751071846172
"857",40,"#bitch",40
"858",11,"#bitcheswhowontdatem",11
"859",5,"#bitchimfrommilwauke",4.26751071846172
"860",6,"#bitter",6
"861",6,"#bittersweet",6
"862",5,"#biz",4.26751071846172
"863",5,"#bizden2012",4.26751071846172
"864",13,"#bizexpo",13
"865",22,"#bizforum",22
"866",6,"#biztip",6
"867",5,"#bizzydiet",4.26751071846172
"868",7,"#bjj",7
"869",15,"#bksq",15
"870",6,"#bl13",6
"871",22,"#black",22
"872",23,"#blackberri",23
"873",11,"#blackboard",11
"874",60,"#blackfriday",60
"875",85,"#blackhawk",85
"876",6,"#blackhistorymonth",6
"877",34,"#blackjack",34
"878",14,"#blacklightpartyoct22",14
"879",8,"#blackmamaquot",8
"880",6,"#blackops2",6
"881",5,"#blackout",4.26751071846172
"882",9,"#blackparentquot",9
"883",31,"#blackparentsquot",31
"884",5,"#blackswan",4.26751071846172
"885",8,"#blago",8
"886",6,"#blagojevich",6
"887",12,"#blah",12
"888",5,"#blake",4.26751071846172
"889",6,"#blast",6
"890",6,"#blastoffnetwork",6
"891",97,"#blazer",97
"892",5,"#blend11",4.26751071846172
"893",10,"#blend12",10
"894",110,"#bless",110
"895",5,"#bling",4.26751071846172
"896",5,"#blissdom",4.26751071846172
"897",5,"#blizzard",4.26751071846172
"898",7,"#block",7
"899",5,"#blocstar",4.26751071846172
"900",33,"#blog",33
"901",24,"#blogathonatx",24
"902",13,"#blogchat",13
"903",20,"#blogger",20
"904",5,"#blogher",4.26751071846172
"905",9,"#blogher11",9
"906",5,"#blogtrend",4.26751071846172
"907",10,"#blood",10
"908",13,"#bloodybrunch",13
"909",11,"#bloomingdaledc",11
"910",6,"#bloomsday",6
"911",32,"#blue",32
"912",6,"#blueandyellow",6
"913",7,"#blueblood",7
"914",5,"#bluegrass",4.26751071846172
"915",13,"#bluejay",13
"916",5,"#bluelikejazz",4.26751071846172
"917",5,"#bluemangroup",4.26751071846172
"918",23,"#bluerock",23
"919",5,"#bluesplayoff",4.26751071846172
"920",6,"#blunt",6
"921",9,"#blush",9
"922",5,"#bmaengag",4.26751071846172
"923",14,"#bmore",14
"924",14,"#bmorefail",14
"925",11,"#bmorehistor",11
"926",5,"#bnbwed",4.26751071846172
"927",5,"#boa",4.26751071846172
"928",10,"#boardwalkempir",10
"929",19,"#bobcat",19
"930",6,"#bobnow",6
"931",5,"#boca",4.26751071846172
"932",13,"#bodi",13
"933",6,"#bodyofproof",6
"934",8,"#boehner",8
"935",5,"#bofa",4.26751071846172
"936",11,"#bogo",11
"937",5,"#boilerup",4.26751071846172
"938",9,"#boisesoc",9
"939",6,"#bollywood",6
"940",5,"#bolt",4.26751071846172
"941",6,"#bond",6
"942",18,"#bone",18
"943",7,"#boniv",7
"944",6,"#bonnaroo",6
"945",13,"#boo",13
